ward,lsoa_count,imd_score_popwt,imd_decile_avg,worst_decile,core20_count
Roundwood,8,50.234,1.250,1,8
Stonebridge,12,46.739,1.583,1,11
Church Street,7,46.246,1.429,1,6
Dollis Hill,11,44.490,1.545,1,10
Harlesden & Kensal Green,10,42.821,2.300,1,7
Westbourne,6,40.150,2.167,1,4
Golborne,5,40.010,2.200,2,4
Southall Broadway,4,37.533,2.000,1,3
Southall Green,7,36.914,2.286,2,5
Northolt West End,9,36.546,2.222,1,6
Queen's Park,6,36.434,2.167,1,4
Dalgarno,6,36.341,2.333,1,4
St Pancras & Somers Town,8,36.291,2.375,2,6
Kilburn (Camden),6,35.717,2.333,1,4
Shepherd's Bush Green,3,35.086,2.333,1,1
Camden Town,3,34.695,2.333,2,2
Dormers Wells,8,33.908,2.875,2,4
Notting Dale,6,33.768,2.333,2,4
Harrow Road,6,33.664,2.833,2,2
College Park & Old Oak,6,33.530,2.833,2,3
Chelsea Riverside,6,33.295,2.833,1,3
Norwood Green,9,33.054,2.778,1,3
Southall West,3,32.451,2.667,2,1
Cranford,8,32.449,2.750,1,2
Welsh Harp,10,31.585,2.900,1,4
Willesden Green,11,31.578,3.182,1,3
Northolt Mandeville,9,31.479,3.000,2,3
Haverstock,7,31.449,3.429,2,3
Hounslow Heath,8,31.121,2.875,2,2
Heathrow Villages,7,30.964,2.714,2,3
Regent's Park (Camden),7,30.858,3.286,2,1
Hammersmith Broadway,4,30.651,3.000,2,1
Hanworth Village,9,30.454,3.000,1,4
Yeading,8,30.324,3.375,2,3
Greenford Broadway,9,30.225,3.111,2,3
King's Cross,7,30.176,3.286,2,3
Cricklewood & Mapesbury,8,30.149,3.250,2,2
Kilburn (Brent),9,29.794,3.222,2,3
White City,5,29.785,3.400,2,3
Wood End,9,29.745,3.000,2,3
Heston West,7,29.625,3.000,2,3
Hayes Town,9,29.213,3.333,2,1
Wembley Central,7,29.213,3.429,3,0
Yiewsley,6,29.165,3.000,2,1
Hounslow Central,4,29.130,3.250,2,1
West Drayton,9,28.952,3.111,2,3
Alperton,7,28.937,3.286,2,1
Lady Margaret,9,28.810,3.444,2,1
Bedfont,7,28.552,3.000,2,2
Colville,6,28.408,3.667,2,1
Wembley Hill,8,28.338,3.375,2,1
Brentford East,5,28.115,3.600,2,1
Feltham North,6,27.882,3.167,3,0
Holborn & Covent Garden,7,27.750,3.429,1,1
Wealdstone South,3,27.742,3.667,3,0
South Acton,9,27.714,3.333,1,3
Barnhill,8,27.569,4.000,2,2
Hounslow West,8,27.556,3.375,2,1
Pinkwell,9,27.391,3.333,2,1
Wealdstone North,5,27.380,3.600,3,0
Perivale,9,27.378,3.333,2,2
Walham Green,4,27.317,3.500,2,2
Camden Square,4,27.260,3.500,2,1
Heston Central,7,27.217,3.571,3,0
Wormholt,5,27.133,3.800,3,0
Pimlico South,6,27.044,3.833,1,2
Hanwell Broadway,8,26.782,4.375,2,2
Kentish Town South,6,26.370,3.667,3,0
North Hanwell,9,26.320,3.778,2,1
Tokyngton,5,26.231,3.400,3,0
Hounslow East,5,26.180,3.800,3,0
Sudbury,7,26.142,3.571,3,0
Gospel Oak,8,26.046,4.375,1,3
Feltham West,9,26.024,3.667,2,1
West Kensington,6,25.710,4.000,2,2
Maida Vale,7,25.175,4.857,2,1
Syon & Brentford Lock,8,25.143,4.000,2,1
North Acton,10,25.143,3.900,2,3
Heston East,6,25.137,3.667,2,1
Pimlico North,7,25.008,3.857,2,2
Earl's Court,6,24.796,4.167,2,1
Addison,5,24.682,4.200,2,1
Lillie,5,24.658,4.000,1,1
East Acton,8,24.580,4.125,2,1
Coningham,7,24.470,4.000,3,0
Central Greenford,8,24.451,4.125,3,0
Belmore,10,24.435,4.000,2,1
Hanworth Park,5,24.295,4.200,2,1
Pitshanger,9,24.145,5.000,1,3
Roxbourne,6,23.987,4.000,3,0
St. Helen's,3,23.558,4.333,3,0
Marlborough,5,23.520,4.000,3,0
Kingsbury,6,23.243,4.000,3,0
Isleworth,7,23.004,4.857,1,1
Colham & Cowley,10,22.964,4.500,2,1
Preston,6,22.962,4.500,2,1
Edgware,9,22.959,4.222,2,1
Hyde Park,6,22.878,4.667,2,2
Charville,6,22.718,4.333,3,0
Queens Park,10,22.055,4.600,3,0
Roxeth,9,22.045,4.444,3,0
Queensbury,9,21.856,4.556,3,0
Bloomsbury,7,21.706,4.857,2,1
Brondesbury Park,8,21.690,4.750,3,0
Vincent Square,7,21.466,4.714,2,1
Highgate,7,21.306,5.143,3,0
St James's,6,21.155,5.333,1,1
Lancaster Gate,8,21.127,4.875,2,1
Greenhill,7,21.123,5.286,3,0
Little Venice,5,21.076,6.000,1,1
Fortune Green,7,21.016,5.286,2,1
West Hampstead,7,20.752,5.429,2,1
North Greenford,8,20.584,5.000,3,0
Harrow Weald,8,20.170,5.000,3,0
Harefield Village,3,20.112,5.000,4,0
Uxbridge,10,19.833,5.100,2,1
Brentford West,3,19.535,5.000,4,0
Harrow on the Hill,6,19.342,5.667,3,0
Stanmore,8,19.086,5.750,3,0
West End,6,18.997,5.167,4,0
Hanger Hill,9,18.799,5.667,2,1
Kentish Town North,4,18.675,5.000,4,0
Ravenscourt,5,18.549,5.600,4,0
Ealing Common,10,18.525,5.200,3,0
Walpole,9,18.388,5.556,2,1
Kenton East,8,18.360,5.375,4,0
South Hampstead,7,18.321,5.714,2,1
West Harrow,5,18.276,5.400,5,0
Avonmore,6,18.221,5.333,2,1
Knightsbridge & Belgravia,8,18.100,6.000,2,2
Hounslow South,8,17.771,6.000,2,1
Kenton,9,17.618,5.889,3,0
Bayswater,7,17.459,5.714,4,0
Hillingdon East,10,17.130,6.100,3,0
Brompton & Hans Town,8,16.833,5.750,3,0
Sands End,6,16.788,6.000,5,0
Chiswick Gunnersbury,8,16.721,5.875,3,0
Holland,6,16.705,6.167,4,0
Ealing Broadway,9,16.681,5.889,3,0
Northwick Park,8,16.654,6.000,4,0
Canons,4,16.587,5.750,5,0
Wendell Park,4,16.469,6.500,3,0
Wembley Park,4,16.465,5.750,4,0
Munster,9,16.410,6.111,3,0
Chiswick Riverside,5,16.405,6.000,4,0
Centenary,9,16.203,6.111,3,0
Grove,4,16.192,6.000,5,0
Primrose Hill,9,15.165,6.444,3,0
Stanley,5,15.028,6.600,5,0
Osterley & Spring Grove,7,14.945,6.429,5,0
Northwood Hills,7,14.939,6.571,5,0
Brook Green,5,14.811,6.200,5,0
Fulham Reach,7,14.753,6.286,4,0
Pembridge,4,14.725,6.000,5,0
Palace & Hurlingham,9,14.448,6.778,3,0
Royal Hospital,7,14.252,6.571,3,0
Courtfield,5,14.140,6.600,4,0
Fulham Town,5,13.969,6.600,6,0
Marylebone,10,13.860,6.800,5,0
Rayners Lane,5,13.822,6.600,4,0
Abbey Road,7,13.777,6.857,3,0
Hillingdon West,5,13.663,7.000,4,0
Belmont,4,13.584,6.750,5,0
South Ruislip,8,13.556,7.125,5,0
Norland,4,13.543,7.000,5,0
Southfield,9,13.481,6.889,4,0
Regent's Park,8,13.273,6.875,3,0
Headstone,9,13.181,7.111,5,0
Redcliffe,7,13.100,7.000,5,0
Chiswick Homefields,10,13.026,7.200,3,0
Kenton West,6,12.604,7.000,6,0
Parsons Green & Sandford,5,12.450,7.200,6,0
Northfield,8,12.392,7.125,5,0
Pinner,8,11.264,7.625,3,0
Hatch End,6,10.844,8.167,3,0
Ickenham & South Harefield,11,10.728,7.909,3,0
Belsize,8,10.328,7.625,5,0
Northwood,7,10.323,7.857,6,0
North Harrow,5,10.014,7.800,7,0
Queen's Gate,6,9.696,8.000,6,0
Abingdon,5,9.695,7.800,6,0
Campden,6,9.460,8.167,7,0
Eastcote,10,9.327,8.200,6,0
Ruislip,9,8.803,8.333,5,0
Ruislip Manor,7,8.429,8.571,6,0
Frognal,5,8.039,8.800,8,0
Hampstead Town,6,7.756,8.667,6,0
Pinner South,9,6.042,9.111,7,0
